Image,Description,Question,Option A,Option B,Option C,Option D,Correct Answer
https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Vaginal_speculum.jpg/320px-Vaginal_speculum.jpg,"Picture of a vaginal speculum used for examining the cervix","Identify this instrument used in gynecological exams",Vaginal speculum,Uterine sound,Forceps,Curette,Vaginal speculum
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Partograph.svg/320px-Partograph.svg.png,"Partograph showing slow cervical dilation with a flat slope","What is the recommended management for this labor pattern?",Continue monitoring,Augment labor with oxytocin,Prepare for emergency cesarean,Induce labor,Augment labor with oxytocin
https://upload.wikimedia.org/wikipedia/commons/8/81/Ectopic_pregnancy_ultrasound.jpg,"Transvaginal ultrasound showing an adnexal mass next to an empty uterus","What is the most likely diagnosis?",Normal intrauterine pregnancy,Ectopic pregnancy,Molar pregnancy,Ovarian cyst,Ectopic pregnancy
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/HPV_infection_cervix.PNG/320px-HPV_infection_cervix.PNG,"Cervical smear showing koilocytotic changes","What viral infection is indicated by these cellular changes?",Herpes simplex virus,Human papillomavirus,Cytomegalovirus,Epstein-Barr virus,Human papillomavirus
https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Chest-X-ray-showing-pneumothorax.png/320px-Chest-X-ray-showing-pneumothorax.png,"Chest X-ray showing collapsed left lung with visible pleural line","What is the diagnosis?",Pulmonary edema,Pneumothorax,Pneumonia,Atelectasis,Pneumothorax
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Endometriosis_lesion_on_laparoscopy.jpg/320px-Endometriosis_lesion_on_laparoscopy.jpg,"Laparoscopic image showing typical ""powder burn"" lesions on peritoneum","What condition is demonstrated in this laparoscopy?",Pelvic inflammatory disease,Ovarian cyst,Endometriosis,Fibroids,Endometriosis
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ultrasound_image_of_Hydrosalpinx.jpg/320px-Ultrasound_image_of_Hydrosalpinx.jpg,"Ultrasound showing dilated, fluid-filled fallopian tube with thick walls","Cogwheel sign present in this image indicates?",Hydrosalpinx,Salpingitis,Ovarian torsion,Ectopic pregnancy,Hydrosalpinx
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Polycystic_ovary_ultrasound.jpg/320px-Polycystic_ovary_ultrasound.jpg,"Ultrasound of ovary showing multiple small peripheral follicles","""String of pearls"" appearance is characteristic of which condition?",Polycystic ovary syndrome,Ovarian cancer,Ovarian hyperstimulation syndrome,Endometriosis,Polycystic ovary syndrome
https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Placenta_previa_ultrasound_2.jpg/320px-Placenta_previa_ultrasound_2.jpg,"Ultrasound showing low-lying placenta covering internal cervical os","What obstetric complication is indicated?",Placenta previa,Placental abruption,Ectopic pregnancy,Intrauterine growth restriction,Placenta previa
https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Pelvic_ultrasound_after_miscarriage.jpg/320px-Pelvic_ultrasound_after_miscarriage.jpg,"Ultrasound post miscarriage showing retained products of conception","What is the recommended management?",Expectant management,Surgical evacuation,Immediate cesarean,Oxytocin induction,Surgical evacuation
https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Cervical_screening_acetic_acid_-_Pap_smear.jpg/320px-Cervical_screening_acetic_acid_-_Pap_smear.jpg,"Cervix showing aceto-white changes after acetic acid application","What does this finding most likely indicate?",Normal cervix,High grade cervical intraepithelial neoplasia,Cervical carcinoma,Chronic cervicitis,High grade cervical intraepithelial neoplasia
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Fetal_heart_rate_trace.jpg/320px-Fetal_heart_rate_trace.jpg,"Fetal heart rate monitoring showing late decelerations","What is the best interpretation of this fetal heart rate pattern?",Normal,Early decelerations,Variable decelerations,Late decelerations,Late decelerations
https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Polycystic_ovaries_ultrasound.jpg/320px-Polycystic_ovaries_ultrasound.jpg,"Ultrasound image of polycystic ovaries","Which hormone imbalance is typical in this condition?",High FSH,High LH,High progesterone,High prolactin,High LH
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Eclampsia_in_pregnancy.jpg/320px-Eclampsia_in_pregnancy.jpg,"Image showing a pregnant woman with seizures","What is the most likely diagnosis?",Eclampsia,Preeclampsia,Meningitis,Epilepsy,Eclampsia
https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/American_Congenital_Hypothyroidism_Picture.jpg/320px-American_Congenital_Hypothyroidism_Picture.jpg,"Picture of infant with congenital hypothyroidism","Which maternal deficiency is a known cause?",Iodine,Folic acid,Vitamin B12,Iron,Iodine
https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Normal_cervix_cancer.jpg/320px-Normal_cervix_cancer.jpg,"Normal cervix and early cervical cancer comparison","What screening test helps early detection?",HPV DNA test,Pap smear,Colposcopy,Endometrial biopsy,Pap smear
